url,title,year,sector
https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-21474285,Four 'illegal workers' detained in Buckie,2013,restaurant
https://www.bbc.co.uk/news/articles/ckgjd9933k9o,Licence bid for bar that had illegal workers delayed,2025,not mentioned
https://www.bbc.co.uk/news/uk-england-london-50224595,Hundreds of London minicabs could be 'working illegally',2019,"private hire, taxi"
https://www.bbc.co.uk/news/articles/cpvmzm7z04zo,Car wash boss banned after hiring illegal workers,2025,security
https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-19464983,Two illegal workers detained at Echt Tandoori,2012,restaurant
https://www.bbc.co.uk/news/articles/clyxkd3neveo,Takeaway licence revoked over illegal workers,2025,not mentioned
https://www.bbc.co.uk/news/articles/cr4ze0x3z0wo,Nine arrested on suspicion of working illegally,2025,delivery
https://www.bbc.co.uk/news/uk-43837834,Illegal immigration: Has the 'hostile environment' worked?,2018,not mentioned
https://www.bbc.co.uk/news/av/world-us-canada-22103915,Illegal workers hold immigration rally in Washington,2013,not mentioned
https://www.bbc.co.uk/news/articles/czxnppz3yplo,Home Office arrests more than 200 people for 'working illegally' in NI,2025,delivery
https://www.bbc.co.uk/news/uk-england-manchester-11666220,'Illegal worker' caught at Greater Manchester Police HQ,2010,"construction, security"
https://www.bbc.co.uk/news/articles/cx2n3z03yrro,Restaurant could lose licence over illegal workers,2025,restaurant
https://www.bbc.co.uk/news/articles/cy85zrlp81mo,Licence bid pulled at bar that had illegal workers,2025,not mentioned
https://www.bbc.co.uk/news/articles/cly17egjryxo,Cibo restaurant fined Â£80k for hiring illegal workers,2025,restaurant
https://www.bbc.co.uk/news/articles/cq50n5pd2ejo,Paralegal sacked after offering to help dodge Â£60k illegal working fines,2025,not mentioned
https://www.bbc.co.uk/news/uk-scotland-highlands-islands-11841566,Illegal workers found at Inverness restaurants,2010,not mentioned
https://www.bbc.co.uk/news/articles/c04vqzp6x31o,Reform councillor's firm fined over illegal worker,2025,not mentioned
https://www.bbc.co.uk/news/articles/cr5r6dz1yj8o,Restaurant with illegal workers loses alcohol licence,2025,restaurant
https://www.bbc.co.uk/news/uk-england-oxfordshire-14247190,Illegal workers found at Oxfordshire and Twickenham restaurants,2011,not mentioned
https://www.bbc.co.uk/news/uk-england-kent-26852557,Illegal worker arrests on the rise in Kent,2014,not mentioned
https://www.bbc.co.uk/news/articles/clydd7zeye7o,US judge says mass firings of some federal workers likely illegal,2025,not mentioned
https://www.bbc.co.uk/news/10369052,Illegal workers employed by Cornwall takeaway,2010,restaurant
https://www.bbc.co.uk/news/articles/cy75erndlm5o,Bar where illegal workers found stripped of licence,2025,not mentioned
https://www.bbc.co.uk/news/uk-northern-ireland-68669224,FP McCann: Concrete firm could face fine for illegal workers,2024,"construction, factory"
https://www.bbc.co.uk/news/world-africa-40715307,Ethiopia urges illegal workers in Saudi Arabia to come home,2017,not mentioned
https://www.bbc.co.uk/news/uk-scotland-glasgow-west-26838914,Illegal workers detained at Rothesay restaurants,2014,not mentioned
https://www.bbc.co.uk/news/uk-wales-mid-wales-12908126,Seven Illegal workers arrested at Pontyclun dairy,2011,delivery
https://www.bbc.co.uk/news/av/uk-england-london-50287343,Hundreds of London minicabs could be 'working illegally',2019,not mentioned
https://www.bbc.co.uk/news/world-australia-66793496,"Qantas illegally fired 1,700 workers during pandemic - top court",2023,not mentioned
https://www.bbc.co.uk/news/uk-england-lancashire-24537577,Illegal workers found in freezer at Preston factory,2013,factory
https://www.bbc.co.uk/news/uk-england-gloucestershire-67101727,Cheltenham Koloshi Restaurant loses licence over illegal workers,2023,restaurant
https://www.bbc.co.uk/news/uk-england-lincolnshire-13024586,Moves to deport Stamford illegal workers,2011,restaurant
https://www.bbc.co.uk/news/uk-northern-ireland-foyle-west-19300793,Illegal worker found at Ballykelly takeaway,2012,restaurant
https://www.bbc.co.uk/news/10392227,Illegal workers found in Sunderland restaurants,2010,not mentioned
https://www.bbc.co.uk/news/articles/cdjgrgn7yy9o,Restaurant that had illegal workers keeps licence,2024,restaurant
https://www.bbc.co.uk/news/videos/c4gkwqwwzp9o,Watch: Mini mart workers selling illegal cigarettes confront BBC reporter,2025,shop
https://www.bbc.co.uk/news/uk-northern-ireland-30389325,Seven arrested at Chinese takeaways in illegal worker inquiry,2014,not mentioned
https://www.bbc.co.uk/news/articles/c865yj3wn6wo,Illegal workers arrested in Christmas market raid,2025,not mentioned
https://www.bbc.co.uk/news/uk-65636770,"MGN journalists knew work was illegal, investigator tells court",2023,security
https://www.bbc.co.uk/news/articles/c5y5379djl3o,Starmer considering digital ID scheme to tackle illegal migration,2025,not mentioned
https://www.bbc.co.uk/news/uk-england-leicestershire-29181053,Leicester illegal circumcision psychiatrist can carry on working,2014,not mentioned
https://www.bbc.co.uk/news/uk-england-dorset-12270507,Illegal workers arrested in Bournemouth,2011,"restaurant, shop"
https://www.bbc.co.uk/news/uk-england-humber-12757942,Three arrests in Hull illegal worker raids,2011,not mentioned
https://www.bbc.co.uk/news/uk-northern-ireland-15297314,Chinese restaurant faces fine over illegal worker,2011,restaurant
https://www.bbc.co.uk/news/uk-england-surrey-22105178,More Surrey illegal working raids planned by Home Office,2013,restaurant
https://www.bbc.co.uk/news/uk-england-northamptonshire-11394649,Six illegal workers found at Wellingborough firm,2010,not mentioned
https://www.bbc.co.uk/news/world-africa-39064642,South Africa plans drive against illegal foreign workers,2017,retail
https://www.bbc.co.uk/news/uk-scotland-glasgow-west-25934579,Five 'illegal workers' arrested in Home Office Wishaw raids,2014,restaurant
https://www.bbc.co.uk/news/10293846,Officers find illegal workers at Norwich newsagents,2010,"delivery, shop"
https://www.bbc.co.uk/news/articles/cly7y9ldr4zo,Shopkeeper loses licence over illegal workers,2025,shop
https://www.bbc.co.uk/news/uk-wales-south-west-wales-35072413,Swansea takeaway facing Â£40k fine over illegal workers,2015,restaurant
https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-38084165,Illegal worker arrests at Queensferry Crossing site,2016,"construction, delivery"
https://www.bbc.co.uk/news/articles/cwy66peqqzxo,Chicken bar with illegal workers could lose licence,2025,not mentioned
https://www.bbc.co.uk/news/articles/cjw2yw51pn0o,Suspected illegal workers arrested at pick-up spot,2025,"construction, security"
https://www.bbc.co.uk/news/uk-23535938,Two-thirds of fines for illegal workers uncollected,2013,not mentioned
https://www.bbc.co.uk/news/uk-scotland-glasgow-west-41173909,Still Game dentures expert fined for illegal work,2017,shop
